Epoch 38 | Last Batch 1510 | M_Optimizer LR => 0.00002605 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 58.75 sec
Epoch 39 | Last Batch 1510 | M_Optimizer LR => 0.00002573 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 0.67 sec
Epoch 40 | Last Batch 1510 | M_Optimizer LR => 0.00002541 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.34 sec
Epoch 41 | Last Batch 1510 | M_Optimizer LR => 0.00002511 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.10 sec
Epoch 42 | Last Batch 1510 | M_Optimizer LR => 0.00002481 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 0.29 sec
Epoch 43 | Last Batch 1510 | M_Optimizer LR => 0.00002453 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.82 sec
Epoch 44 | Last Batch 1510 | M_Optimizer LR => 0.00002425 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 58.65 sec
Epoch 45 | Last Batch 1510 | M_Optimizer LR => 0.00002399 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 0.63 sec
Epoch 46 | Last Batch 1510 | M_Optimizer LR => 0.00002373 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.15 sec
Epoch 47 | Last Batch 1510 | M_Optimizer LR => 0.00002348 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.17 sec
Epoch 48 | Last Batch 1510 | M_Optimizer LR => 0.00002324 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 0.65 sec
Epoch 49 | Last Batch 1510 | M_Optimizer LR => 0.00002301 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.49 sec

🕒 Total Training Time => TDM_Former: 100 min 27.47 sec
