Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 2 decoder FFN layers (L5-L6) | insertion=ffn
Checkpoint epoch_45_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.978 | sacreBLEU: 30.13 | Beam=5
Checkpoint epoch_46_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.986 | sacreBLEU: 29.62 | Beam=5
Checkpoint epoch_47_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.953 | sacreBLEU: 31.37 | Beam=5
Checkpoint epoch_48_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.960 | sacreBLEU: 30.64 | Beam=5
Checkpoint epoch_49_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.949 | sacreBLEU: 31.16 | Beam=5
Checkpoint TDM_Former_IWSLT14_De_En_LR0_0001_Adam_Seed1_1_TDM_NoRotation_Last2Layer_LastEpoch49.pt | Test Loss: 2.949 | sacreBLEU: 31.16 | Beam=5

🏆 Best BLEU Score: 31.37

🕒 Total Test Time over all checkpoints: 4 min 32.00 sec
