Epoch 41 | Last Batch 1251 | M_Optimizer LR => 0.00002758 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 16.32 sec
Epoch 42 | Last Batch 1251 | M_Optimizer LR => 0.00002726 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 16.54 sec
Epoch 43 | Last Batch 1251 | M_Optimizer LR => 0.00002695 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 16.98 sec
Epoch 44 | Last Batch 1251 | M_Optimizer LR => 0.00002665 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 17.17 sec
Epoch 45 | Last Batch 1251 | M_Optimizer LR => 0.00002635 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 17.35 sec
Epoch 46 | Last Batch 1251 | M_Optimizer LR => 0.00002607 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 16.31 sec
Epoch 47 | Last Batch 1251 | M_Optimizer LR => 0.00002580 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 15.23 sec
Epoch 48 | Last Batch 1251 | M_Optimizer LR => 0.00002553 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 19.39 sec
Epoch 49 | Last Batch 1251 | M_Optimizer LR => 0.00002528 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 16.88 sec

🕒 Total Training Time => TDM_Former: 65 min 3.48 sec
