Epoch 35 | Last Batch 1570 | M_Optimizer LR => 0.00002659 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.30 sec
Epoch 36 | Last Batch 1570 | M_Optimizer LR => 0.00002623 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.28 sec
Epoch 37 | Last Batch 1570 | M_Optimizer LR => 0.00002589 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.53 sec
Epoch 38 | Last Batch 1570 | M_Optimizer LR => 0.00002555 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.80 sec
Epoch 39 | Last Batch 1570 | M_Optimizer LR => 0.00002523 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.71 sec
Epoch 40 | Last Batch 1570 | M_Optimizer LR => 0.00002492 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.39 sec
Epoch 41 | Last Batch 1570 | M_Optimizer LR => 0.00002462 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.18 sec
Epoch 42 | Last Batch 1570 | M_Optimizer LR => 0.00002433 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.78 sec
Epoch 43 | Last Batch 1570 | M_Optimizer LR => 0.00002406 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.36 sec
Epoch 44 | Last Batch 1570 | M_Optimizer LR => 0.00002379 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.49 sec
Epoch 45 | Last Batch 1570 | M_Optimizer LR => 0.00002353 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.79 sec
Epoch 46 | Last Batch 1570 | M_Optimizer LR => 0.00002328 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.31 sec
Epoch 47 | Last Batch 1570 | M_Optimizer LR => 0.00002303 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.92 sec
Epoch 48 | Last Batch 1570 | M_Optimizer LR => 0.00002280 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.65 sec
Epoch 49 | Last Batch 1570 | M_Optimizer LR => 0.00002257 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.32 sec

🕒 Total Training Time => TDM_Former: 80 min 15.15 sec
